"カテゴリ","名称","住所","X座標","Y座標"
"避難所","清水袖師中学校","清水区西久保125-1",-1258.64371760,-106671.60941500
"避難所","清水庵原中学校","清水区原245",-1854.59106172,-105276.17569500
"避難所","清水庵原小学校","清水区庵原町1723",-2224.14965956,-105223.68231800
"避難所","西奈中学校","葵区東瀬名町14-1",-6596.95281391,-109696.69926500
"避難所","東部生涯学習センター","葵区千代田7-8-15",-8578.79276530,-110770.58350000
"避難所","安東小学校","葵区安東3-16-1",-10640.21816860,-111858.34909500
"避難所","井宮北小学校","葵区上伝馬2-1",-11965.16591810,-110391.60640000
"避難所","北部生涯学習センター","葵区昭府2-14-1",-11919.04160880,-110711.57715500
"避難所","籠上中学校","葵区平和2-2-1",-12140.60632410,-111854.67356600
"避難所","井宮小学校","葵区平和1-7-1",-12148.39868950,-112207.61534800
"避難所","安倍口小学校","葵区安倍口新田50",-12805.28092400,-108475.39794700
"避難所","服織小学校","葵区羽鳥6-9-1",-14931.76994820,-112529.54039200
"避難所","服織中学校","葵区羽鳥1-8-1",-14184.54963840,-113090.13791200
"避難所","服織西小学校","葵区新間759-1-1",-17552.94851330,-111570.17263000
"避難所","藁科中学校","葵区大原1398-1",-19859.16815870,-109914.89943800
"避難所","中藁科小学校","葵区大原942-1",-20382.11596560,-109861.58417300
"避難所","藁科都市山村交流センター","葵区大原1834",-20901.22643850,-109422.84996400
"避難所","南藁科小学校","葵区吉津400",-16844.14250070,-113172.40642200
"避難所","清水東高校","清水区秋吉町5-10",-1830.53616683,-107670.49168500
"避難所","清水第一中学校","清水区宮代町5-55",-1503.57387212,-108078.17243900
"避難所","江尻生涯学習交流館","清水区小芝町3-35",-1609.96796570,-108366.29328900
"避難所","清水江尻小学校","清水区江尻町14-63",-1837.88539438,-108575.59054300
"避難所","清水第八中学校","清水区追分4-2429",-2951.53966601,-109322.43504300
"避難所","清水入江小学校","清水区追分2-3-1",-2377.38880522,-109352.49684800
"避難所","浜田生涯学習交流館","清水区浜田町4-4",-1569.05881070,-109263.89188600
"避難所","清水浜田小学校","清水区浜田町11-1",-1528.85155257,-109458.16704300
"避難所","岡生涯学習交流館","清水区桜が丘町7-1",-1973.59199918,-109686.17155900
"避難所","清水中央図書館","清水区入江岡町15-23",-1856.10071498,-109646.66518300
"避難所","清水桜が丘高校","清水区桜が丘町7-15",-2053.92951981,-109725.67228600
"避難所","清水第二中学校","清水区神田町4-57",-1859.05649649,-110166.87063700
"避難所","清水岡小学校","清水区",-1746.26116237,-110147.33691600
"避難所","清水西高校","清水区青葉町5-1",-2264.33567231,-110052.30276600
"避難所","清水船越老人福祉センター","清水区船越町1",-2947.41784780,-111009.82591400
"避難所","清水船越小学校","清水区北矢部831-1",-2574.59901092,-111056.40559600
"避難所","清水有度第一小学校","清水区有度本町3-1",-4226.81059611,-110066.60196400
"避難所","清水第七中学校","清水区草薙3-9-20",-4731.91804648,-110642.01999500
"避難所","清水有度第二小学校","清水区草薙杉道3-19-1",-4458.19761147,-110781.12201200
"避難所","清水第三中学校","清水区三光町3-57",-1142.81340706,-110750.95552600
"避難所","清水老人憩の家清開きらく荘","清水区清開2-1-1",-693.40670946,-111055.70761100
"避難所","清水総合運動場体育館","清水区清開2-1-1",-668.93401524,-111283.10737800
"避難所","清水不二見小学校","清水区新緑町2-21",-958.37645784,-111436.94645400
"避難所","清水第四中学校","清水区村松",-1138.04007974,-112006.44636000
"避難所","清水南部交流センター","清水区駒越南町9-50",364.07400073,-113232.63899300
"避難所","安東こども園","葵区安東3-11-17",-10577.29254280,-111857.49984500
"避難所","東部体育館","葵区東千代田2-3-1",-8328.98796091,-110799.71800800
"避難所","千代田小学校","葵区沓谷5-47-1",-8467.16720084,-111323.37994600
"避難所","市立高校","葵区千代田3-1-1",-9185.26080461,-111660.13651400
"避難所","横内小学校","葵区緑町1-1",-9774.39457658,-112458.54604700
"避難所","西奈南小学校","葵区南瀬名町1-20",-7076.31431349,-110640.83042500
"避難所","静岡農業高校","葵区古庄3-1-1",-7676.18438327,-111550.71974600
"避難所","東海大学短期大学部","葵区宮前町101",-8623.16736650,-112824.71967400
"避難所","東中学校","葵区沓谷1-6-1",-9363.49792664,-112507.15868100
"避難所","東豊田小学校","駿河区池田491-2",-6975.96199702,-112699.75174500
"避難所","静岡視覚特別支援学校","駿河区曲金6-1-5",-8301.12681781,-113171.17320300
"避難所","西豊田小学校","駿河区曲金2-8-80",-8495.85875916,-113319.01943000
"避難所","静岡県立大学","駿河区谷田52-1",-4937.01263665,-111487.13264300
"避難所","東豊田中学校","駿河区国吉田5-23-1",-5749.22011440,-111885.83880500
"避難所","東源台小学校","駿河区国吉田6-7-45",-5721.59282075,-112074.85755900
"避難所","静岡聖光学院中学･高校","駿河区小鹿1440",-6053.41350254,-113988.04712600
"避難所","静岡大学","駿河区大谷836",-6230.23211412,-114924.49547000
"避難所","久能小学校","駿河区古宿213-2",-3963.16172451,-115633.02815000
"避難所","大谷小学校","駿河区大谷3683-2",-6441.33953796,-115962.76804200
"避難所","静岡県農業会館","駿河区曲金3-8-1",-8322.71072151,-113747.45149900
"避難所","南部体育館","駿河区曲金3-1-30",-8681.21725027,-113966.03073000
"避難所","ツインメッセ静岡","駿河区曲金3-1-10",-8578.96997351,-114083.24502400
