No.,店舗・施設名,住所,整備事業者,緯度,経度
62,グラムール,清水区八坂東2丁目3-14,NTT西日本(dospot),35.033056,138.477296
61,平沢ライディングガーデン,駿河区古宿717-1,NTT西日本(dospot),34.976593,138.450754
60,西村商店,葵区羽鳥3-9-5,NTT西日本(dospot),34.980773,138.340227
59,(株)バイシクルわたなべ,駿河区曲金7-8-35,NTT西日本(dospot),34.983381,138.416947
58,(株)健翔,清水区草薙3-10-22,NTT西日本(dospot),35.002658,138.446464
57,城北体育館,葵区北安東3-13-1,NTT西日本(dospot),34.999332,138.38436
56,岡屋,清水区興津本町6,NTT西日本(dospot),35.04966,138.520147
55,(株)オートプラザヤヒロ,清水区入江3丁目9-17,NTT西日本(dospot),35.017006,138.476129
54,ニチフリ食品(株),清水区蒲原5190-2,NTT西日本(dospot),35.121822,138.622136
53,名倉堂整骨院,駿河区国吉田4-9-25,NTT西日本(dospot),34.992373,138.430781
52,松田モータース,清水区庵原町1424-1,NTT西日本(dospot),35.047796,138.475424
51,望月鉄工所,清水区草薙2150-2,NTT西日本(dospot),35.004906,138.439871
50,割烹芳川,清水区上原1丁目2-20,NTT西日本(dospot),35.011112,138.459012
49,(株)丸山不動産,清水区江尻台町6-5,NTT西日本(dospot),35.021826,138.477524
48,エムエムケー(株),清水区楠357-2,NTT西日本(dospot),35.012477,138.438777
47,久保薬局,駿河区用宗3丁目2-28,NTT西日本(dospot),34.92439,138.362482
46,ClimbingJAM,駿河区池田128-1,NTT西日本(dospot),34.983867,138.418926
45,Mテクニカルオートサービス,駿河区池田551-1,NTT西日本(dospot),34.983249,138.420951
44,三園旅館,清水区二の丸町6-31,NTT西日本(dospot),35.022232,138.478471
43,タイヤセレクト静岡,駿河区下島193-1,NTT西日本(dospot),34.949532,138.409404
42,(有)有楽会館,清水区江尻台町3-6,NTT西日本(dospot),35.02275,138.478353
41,(有)しんま・望月,葵区新間1548-4,NTT西日本(dospot),34.997798,138.309162
40,カーテン工房まど,葵区大岩2-37-12,NTT西日本(dospot),34.996994,138.379817
39,安田屋本店,葵区横内町53-1,NTT西日本(dospot),34.981938,138.389481
38,三倖建設(株),葵区古庄5-10-29,NTT西日本(dospot),34.996572,138.418336
37,マルセイ企画工房,清水区興津中町1414-16,NTT西日本(dospot),35.059795,138.523468
36,ステージワンモータース,駿河区丸子6782-1,NTT西日本(dospot),34.943142,138.328002
35,大和屋,清水区辻1-2-1,NTT西日本(dospot),35.023888,138.487553
