指定管理者制度導入施設一覧,,,,,,,,H26.4.1現在,,,,,,,,,,,
施設名,,施設数,担当課,指定管理者名,公募,指定期間,,,,,,,,,,,,,
41,城東子育て支援センター,1,子ども未来課,ＮＰＯ法人　なのはな,1,H25.4.1,H30.3.31,5年,,,,,,,,,,,
42,蒲原子育て支援センター,1,子ども未来課,ＮＰＯ法人　子育て支援どろん子,1,H25.4.1,H30.3.31,5年,,,,,,,,,,,
43,"児童館（西奈、安東、美和、麻機、服織、豊田、長田、
中島、蒲原白銀、由比、草薙）",11,子ども未来課,(福)静岡市社会福祉協議会,11,H25.4.1,H30.3.31,5年,,,,,,,,,,,
44,清水産業・情報プラザ,1,産業政策課,静岡商工会議所,1,H26.4.1,H29.3.31,3年,,,,,,,,,,,
45,産学交流センター,1,産業政策課,（財）静岡産業振興協会,,H25.4.1,H30.3.31,5年,,,,,,,,,,,
46,クリエーター支援センター,1,産業政策課,"ＮＰＯ法人
しずおかコンテンツバレー推進コンソーシアム",,H24.4.1,H27.3.31,3年,,,,,,,,,,,
47,こどもクリエイティブタウン,1,産業政策課,株式会社丹青社,1,H25.1.20,H29.3.31,"4年
2月",,,,,,,,,,,
48,北部勤労者福祉センター,1,商業労政課,（公財）静岡市まちづくり公社,1,H22.4.1,H27.3.31,5年,,,,,,,,,,,
49,南部勤労者福祉センター,1,商業労政課,静岡市文化振興財団共同事業体,1,H26.4.1,H31.3.31,5年,,,,,,,,,,,
50,東部勤労者福祉センター,1,商業労政課,清水テルサ管理運営共同企業体,1,H25.4.1,H28.3.31,3年,,,,,,,,,,,
51,工芸と歴史の体験施設「駿府匠宿」,1,産業振興課,（株）駿府楽市,,H23.4.1,H28.3.31,5年,,,,,,,,,,,
52,清水港船宿記念館「末廣」,1,観光・シティプロモーション課,（財）静岡観光コンベンション協会,1,H23.4.1,H28.3.31,5年,,,,,,,,,,,
53,東海道広重美術館,1,観光・シティプロモーション課,ＮＰＯ法人　ヘキサプロジェクト,1,H25.4.1,H30.3.31,3年,,,,,,,,,,,
54,由比本陣施設,1,観光・シティプロモーション課,ＮＰＯ法人　ふれあい由比,1,H25.4.1,H30.3.31,3年,,,,,,,,,,,
55,港湾会館清水日の出センター（２施設）,2,清水港振興課,清水港振興グループ,2,H23.4.1,H28.3.31,5年,,,,,,,,,,,
56,用宗漁港施設「用宗フィッシャリーナ」,1,水産漁港課,清水漁業協同組合,,H24.4.1,H27.3.31,3年,,,,,,,,,,,
57,口坂本温泉浴場,1,中山間地振興課,大新東株式会社静岡営業所,1,H26.4.1,H29.3.31,3年,,,,,,,,,,,
58,湯ノ島温泉浴場,1,中山間地振興課,湯ノ島温泉運営協議会,,H23.4.1,H28.3.31,5年,,,,,,,,,,,
59,梅ヶ島新田温泉「黄金の湯」,1,中山間地振興課,梅ヶ島新田温泉運営協議会,,H23.4.1,H28.3.31,5年,,,,,,,,,,,
60,清水西里温泉浴場「やませみの湯」,1,中山間地振興課,清水西里温泉浴場運営協議会,,H22.4.1,H27.3.31,5年,,,,,,,,,,,
61,梅ヶ島コンヤの里レクリエーション施設,1,中山間地振興課,梅ヶ島コンヤの里テニス場運営協議会,,H23.4.1,H28.3.31,5年,,,,,,,,,,,
62,日影沢親水園,1,中山間地振興課,梅ケ島淡水魚生産組合,,H22.4.1,H27.3.31,5年,,,,,,,,,,,
63,南アルプス井川オートキャンプ場,1,中山間地振興課,静岡市井川振興会,,H26.4.1,H29.3.31,3年,,,,,,,,,,,
64,藁科都市山村交流センター,1,中山間地振興課,藁科交流センター運営委員会,,H25.4.1,H30.3.31,5年,,,,,,,,,,,
65,賤機都市山村交流センター,1,中山間地振興課,賤機都市山村交流センター運営委員会,,H24.4.1,H29.3.31,5年,,,,,,,,,,,
66,清水森林公園,1,中山間地振興課,清水森林組合,1,H22.4.1,H27.3.31,5年,,,,,,,,,,,
67,南アルプス赤石温泉「白樺荘」,1,中山間地振興課,静岡市井川振興会,,H24.4.1,H27.3.31,3年,,,,,,,,,,,
68,清水駅東口駐車場,1,交通政策課,静岡ビルサービス?,1,H24.4.1,H27.3.31,3年,,,,,,,,,,,
69,静岡ヘリポート,1,交通政策課,（公財）静岡市まちづくり公社,,H23.4.1,H28.3.31,5年,,,,,,,,,,,
70,駿府城公園東御門・巽櫓、日本庭園及び茶室,1,公園整備課,（株）静岡ビル保善,1,H23.4.1,H28.3.31,5年,,,,,,,,,,,
71,市営住宅及び改良住宅等,86,住宅政策課,（公財）静岡市まちづくり公社,,H25.4.1,H30.3.31,5年,,,,,,,,,,,
計,,225,,,72,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
