年月,品名コード,品名,地区コード,地区名,数量(kg),金額(円)
27.10.,76170,ﾍﾞﾆｱｽﾞﾏ,221,ｼ ｽﾞ ｵ ｶ ｼ,53,3586
27.10.,76172,ﾍﾞﾆﾊﾙｶ,0,*ｺﾞｳｹｲ*,780,199530
27.10.,76172,ﾍﾞﾆﾊﾙｶ,8,ｲ ﾊﾞ ﾗ ｷﾞ,780,199530
27.10.,37020,ｻﾄｲﾓﾙｲ,0,*ｺﾞｳｹｲ*,33661.75,13899199
27.10.,37020,ｻﾄｲﾓﾙｲ,11,ｻ ｲ ﾀ ﾏ,7290,2978046
27.10.,37020,ｻﾄｲﾓﾙｲ,12,ﾁ ﾊﾞ,3305,1195182
27.10.,37020,ｻﾄｲﾓﾙｲ,15,ﾆ ｲ ｶﾞ ﾀ,30,15336
27.10.,37020,ｻﾄｲﾓﾙｲ,22,ｼ ｽﾞ ｵ ｶ,15242.65,6491792
27.10.,37020,ｻﾄｲﾓﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,1502.1,356897
27.10.,37020,ｻﾄｲﾓﾙｲ,38,ｴ ﾋ ﾒ,4060,1966572
27.10.,37020,ｻﾄｲﾓﾙｲ,45,ﾐ ﾔ ｻﾞ ｷ,1832,774198
27.10.,37020,ｻﾄｲﾓﾙｲ,46,ｶ ｺﾞ ｼ ﾏ,400,121176
27.10.,76300,ｻﾄｲﾓ,0,*ｺﾞｳｹｲ*,29092.65,11192978
27.10.,76300,ｻﾄｲﾓ,11,ｻ ｲ ﾀ ﾏ,7290,2978046
27.10.,76300,ｻﾄｲﾓ,12,ﾁ ﾊﾞ,3302,1193670
27.10.,76300,ｻﾄｲﾓ,15,ﾆ ｲ ｶﾞ ﾀ,30,15336
27.10.,76300,ｻﾄｲﾓ,22,ｼ ｽﾞ ｵ ｶ,12528.55,4569921
27.10.,76300,ｻﾄｲﾓ,221,ｼ ｽﾞ ｵ ｶ ｼ,1502.1,356897
27.10.,76300,ｻﾄｲﾓ,38,ｴ ﾋ ﾒ,4060,1966572
27.10.,76300,ｻﾄｲﾓ,45,ﾐ ﾔ ｻﾞ ｷ,380,112536
27.10.,76310,ｱﾗｲｻﾄｲﾓ,0,*ｺﾞｳｹｲ*,1455,663174
27.10.,76310,ｱﾗｲｻﾄｲﾓ,12,ﾁ ﾊﾞ,3,1512
27.10.,76310,ｱﾗｲｻﾄｲﾓ,45,ﾐ ﾔ ｻﾞ ｷ,1452,661662
27.10.,76320,ｲｼｶﾜｲﾓ,0,*ｺﾞｳｹｲ*,560,225720
27.10.,76320,ｲｼｶﾜｲﾓ,22,ｼ ｽﾞ ｵ ｶ,160,104544
27.10.,76320,ｲｼｶﾜｲﾓ,46,ｶ ｺﾞ ｼ ﾏ,400,121176
27.10.,76330,ｱｶﾒｲﾓ,0,*ｺﾞｳｹｲ*,3.85,713
27.10.,76330,ｱｶﾒｲﾓ,22,ｼ ｽﾞ ｵ ｶ,3.85,713
27.10.,76350,ｴﾋﾞｲﾓ,0,*ｺﾞｳｹｲ*,2545,1815480
27.10.,76350,ｴﾋﾞｲﾓ,22,ｼ ｽﾞ ｵ ｶ,2545,1815480
27.10.,76341,ｼﾛﾒｲﾓ,0,*ｺﾞｳｹｲ*,5.25,1134
27.10.,76341,ｼﾛﾒｲﾓ,22,ｼ ｽﾞ ｵ ｶ,5.25,1134
27.10.,37030,ｾﾚﾍﾞｽﾙｲ,0,*ｺﾞｳｹｲ*,3662.9,1220604
27.10.,37030,ｾﾚﾍﾞｽﾙｲ,12,ﾁ ﾊﾞ,1665,544428
27.10.,37030,ｾﾚﾍﾞｽﾙｲ,22,ｼ ｽﾞ ｵ ｶ,1188,350664
27.10.,37030,ｾﾚﾍﾞｽﾙｲ,45,ﾐ ﾔ ｻﾞ ｷ,809.9,325512
27.10.,76340,ｾﾚﾍﾞｽ,0,*ｺﾞｳｹｲ*,3662.9,1220604
27.10.,76340,ｾﾚﾍﾞｽ,12,ﾁ ﾊﾞ,1665,544428
27.10.,76340,ｾﾚﾍﾞｽ,22,ｼ ｽﾞ ｵ ｶ,1188,350664
27.10.,76340,ｾﾚﾍﾞｽ,45,ﾐ ﾔ ｻﾞ ｷ,809.9,325512
27.10.,37040,ｷﾖｳｲﾓﾙｲ,0,*ｺﾞｳｹｲ*,120,44388
27.10.,37040,ｷﾖｳｲﾓﾙｲ,45,ﾐ ﾔ ｻﾞ ｷ,120,44388
27.10.,76303,ｷﾖｳｲﾓ,0,*ｺﾞｳｹｲ*,120,44388
27.10.,76303,ｷﾖｳｲﾓ,45,ﾐ ﾔ ｻﾞ ｷ,120,44388
27.10.,37050,ﾔﾂｶﾞｼﾗﾙｲ,0,*ｺﾞｳｹｲ*,27,5508
27.10.,37050,ﾔﾂｶﾞｼﾗﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,27,5508
27.10.,76360,ﾔﾂｶﾞｼﾗ,0,*ｺﾞｳｹｲ*,27,5508
27.10.,76360,ﾔﾂｶﾞｼﾗ,221,ｼ ｽﾞ ｵ ｶ ｼ,27,5508
27.10.,37060,ﾅｶﾞｲﾓﾙｲ,0,*ｺﾞｳｹｲ*,11596.85,5943806
27.10.,37060,ﾅｶﾞｲﾓﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,130,53028
27.10.,37060,ﾅｶﾞｲﾓﾙｲ,2,ｱ ｵ ﾓ ﾘ,11466.85,5890778
27.10.,76400,ﾅｶﾞｲﾓ,0,*ｺﾞｳｹｲ*,11596.85,5943806
27.10.,76400,ﾅｶﾞｲﾓ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,130,53028
27.10.,76400,ﾅｶﾞｲﾓ,2,ｱ ｵ ﾓ ﾘ,11466.85,5890778
27.10.,37070,ﾔﾏｲﾓﾙｲ,0,*ｺﾞｳｹｲ*,4640.7,7509726
27.10.,37070,ﾔﾏｲﾓﾙｲ,22,ｼ ｽﾞ ｵ ｶ,4592.7,7451838
27.10.,37070,ﾔﾏｲﾓﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,48,57888
27.10.,76500,ﾔﾏｲﾓ,0,*ｺﾞｳｹｲ*,1840,2118096
27.10.,76500,ﾔﾏｲﾓ,22,ｼ ｽﾞ ｵ ｶ,1792,2060208
27.10.,76500,ﾔﾏｲﾓ,221,ｼ ｽﾞ ｵ ｶ ｼ,48,57888
27.10.,76530,ｼﾞﾈﾝｼﾞﾖ,0,*ｺﾞｳｹｲ*,2800.7,5391630
27.10.,76530,ｼﾞﾈﾝｼﾞﾖ,22,ｼ ｽﾞ ｵ ｶ,2800.7,5391630
27.10.,37080,ﾔﾏﾄｲﾓﾙｲ,0,*ｺﾞｳｹｲ*,23829,14103936
27.10.,37080,ﾔﾏﾄｲﾓﾙｲ,12,ﾁ ﾊﾞ,23784,14094216
27.10.,37080,ﾔﾏﾄｲﾓﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,45,9720
27.10.,76510,ﾔﾏﾄｲﾓ,0,*ｺﾞｳｹｲ*,23829,14103936
27.10.,76510,ﾔﾏﾄｲﾓ,12,ﾁ ﾊﾞ,23784,14094216
27.10.,76510,ﾔﾏﾄｲﾓ,221,ｼ ｽﾞ ｵ ｶ ｼ,45,9720
27.10.,37090,ｲｾｲﾓﾙｲ,0,*ｺﾞｳｹｲ*,130,131760
27.10.,37090,ｲｾｲﾓﾙｲ,29,ﾅ ﾗ,130,131760
27.10.,76520,ｲｾｲﾓ,0,*ｺﾞｳｹｲ*,130,131760
27.10.,76520,ｲｾｲﾓ,29,ﾅ ﾗ,130,131760
27.10.,37100,ﾀﾏﾈｷﾞﾙｲ,0,*ｺﾞｳｹｲ*,1010230,77358834
27.10.,37100,ﾀﾏﾈｷﾞﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,1004460,76648734
27.10.,37100,ﾀﾏﾈｷﾞﾙｲ,28,ﾋ ﾖ ｳ ｺﾞ,2830,367956
27.10.,37100,ﾀﾏﾈｷﾞﾙｲ,150,ﾕ ﾆ ﾕ ｳ,2940,342144
27.10.,76600,ﾀﾏﾈｷﾞ,0,*ｺﾞｳｹｲ*,1010230,77358834
27.10.,76600,ﾀﾏﾈｷﾞ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,1004460,76648734
27.10.,76600,ﾀﾏﾈｷﾞ,28,ﾋ ﾖ ｳ ｺﾞ,2830,367956
27.10.,76600,ﾀﾏﾈｷﾞ,150,ﾕ ﾆ ﾕ ｳ,2940,342144
27.10.,37110,ﾆﾝﾆｸﾙｲ,0,*ｺﾞｳｹｲ*,7714.5,6482403
27.10.,37110,ﾆﾝﾆｸﾙｲ,2,ｱ ｵ ﾓ ﾘ,2306,4357962
27.10.,37110,ﾆﾝﾆｸﾙｲ,150,ﾕ ﾆ ﾕ ｳ,5408.5,2124441
27.10.,76700,ﾆﾝﾆｸ,0,*ｺﾞｳｹｲ*,6343,5746151
27.10.,76700,ﾆﾝﾆｸ,2,ｱ ｵ ﾓ ﾘ,2306,4357962
27.10.,76700,ﾆﾝﾆｸ,150,ﾕ ﾆ ﾕ ｳ,4037,1388189
27.10.,76710,ﾆﾝﾆｸﾉﾒ,0,*ｺﾞｳｹｲ*,1371.5,736252
27.10.,76710,ﾆﾝﾆｸﾉﾒ,150,ﾕ ﾆ ﾕ ｳ,1371.5,736252
27.10.,37130,ｴｼﾔﾚﾂﾄﾙｲ,0,*ｺﾞｳｹｲ*,304.6,292518
27.10.,37130,ｴｼﾔﾚﾂﾄﾙｲ,8,ｲ ﾊﾞ ﾗ ｷﾞ,44,63828
27.10.,37130,ｴｼﾔﾚﾂﾄﾙｲ,22,ｼ ｽﾞ ｵ ｶ,250,225828
27.10.,37130,ｴｼﾔﾚﾂﾄﾙｲ,221,ｼ ｽﾞ ｵ ｶ ｼ,10.6,2862
27.10.,76910,ｴｼﾔﾚﾂﾄ,0,*ｺﾞｳｹｲ*,304.6,292518
27.10.,76910,ｴｼﾔﾚﾂﾄ,8,ｲ ﾊﾞ ﾗ ｷﾞ,44,63828
27.10.,76910,ｴｼﾔﾚﾂﾄ,22,ｼ ｽﾞ ｵ ｶ,250,225828
27.10.,76910,ｴｼﾔﾚﾂﾄ,221,ｼ ｽﾞ ｵ ｶ ｼ,10.6,2862
27.10.,37140,ﾕﾘﾈﾙｲ,0,*ｺﾞｳｹｲ*,337,387612
27.10.,37140,ﾕﾘﾈﾙｲ,1,ﾎ ﾂ ｶ ｲ ﾄﾞ ｳ,337,387612
