所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
リヴェールＭ,静岡市清水区三保５７７番地の１６,リヴェールＭ,2,0,共同住宅
プレジール東海,静岡市清水区三保５８７番地の１２,プレジール東海,2,0,共同住宅
ウエストタウンミホＡ,静岡市清水区三保５８番地の１,ウエストタウンミホＡ,2,0,共同住宅
ウエストタウンミホＢ,静岡市清水区三保５８番地の１,ウエストタウンミホＢ,2,0,共同住宅
エステートピア桜ハイツ,静岡市清水区三保５９４番地の１３,エステートピア桜ハイツ,2,0,共同住宅
グリーンヒルズA1A2A3,静岡市清水区三保５番地の３,グリ－ンヒルズＡ２,2,0,共同住宅
グリーンヒルズA1A2A3,静岡市清水区三保５番地の３,グリーンヒルズＡ３,2,0,
セントラルハイツ,静岡市清水区三保６０番地の１,セントラルハイツ,2,0,共同住宅
紅産業株式会社,静岡市清水区三保６１２番地の４,紅産業株式会社,3,0,事務所
ラ・ナシカ三保の松原,静岡市清水区三保６１番地の１,ラ・ナシカ三保の松原,3,0,有料老人ホーム(ロ)
株式会社　ＨＩＳＡＮＡＧＡ,静岡市清水区三保６２１番地の４,株式会社　ＨＩＳＡＮＡＧＡ,2,0,ショールーム
株式会社佐野設備,静岡市清水区三保６２３番地の３,株式会社佐野設備,2,0,倉庫
株式会社佐野設備,静岡市清水区三保６２３番地の３,株式会社佐野設備,2,0,事務所
遠藤アパート,静岡市清水区三保６３８番地の４,遠藤アパート,2,0,共同住宅
コーポアイリス,静岡市清水区三保６３番地の２,コーポアイリス,3,0,共同住宅
シーパレス,静岡市清水区三保６４７番地の１０,シーパレス,2,0,共同住宅
司第２アパート,静岡市清水区三保６５３番地の１０,司第２アパート,2,0,共同住宅
みどり寿司　三保支店,静岡市清水区三保６６４番地の５,みどり寿司　三保支店,2,0,飲食店
サンシャインハイツ,静岡市清水区三保６６４番地の７,サンシャインハイツ,2,0,共同住宅
株式会社カナサシ重工　昇陽館,静岡市清水区三保６７０番地の１,株式会社カナサシ重工　昇陽館,2,0,寄宿舎
株式会社サンセイプランサービス,静岡市清水区三保６７３番地の１,株式会社サンセイプランサービス,2,0,倉庫
株式会社カナサシ重工　カナサシクラブ,静岡市清水区三保６７６番地,株式会社カナサシ重工　カナサシクラブ,3,0,宿泊所
サンハイム東海Ⅰ,静岡市清水区三保６７番地の１,サンハイム東海Ⅰ,2,0,共同住宅
