所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
ローソン清水宍原店,静岡市清水区宍原１３８７番地の２,ローソン清水宍原店,1,0,物品販売店舗
山田銘建建材倉庫,静岡市清水区宍原１４１４番地の１,山田銘建建材倉庫,1,0,倉庫
やまお製茶工場　,静岡市清水区宍原１４３５番地,やまお製茶工場,2,0,作業場
富士見ヶ丘カントリー倶楽部,静岡市清水区宍原１４５６番地の２,富士見ヶ丘カントリー倶楽部　クラブハウス,2,0,(１５)項  その他
富士見ヶ丘カントリー倶楽部,静岡市清水区宍原１４５６番地の２,富士見ヶ丘カントリー倶楽部　管理棟,2,0,(１５)項  その他
富士見ヶ丘カントリー倶楽部,静岡市清水区宍原１４５６番地の２,富士見ヶ丘カントリー倶楽部　機械倉庫,1,0,倉庫
富士見ヶ丘カントリー倶楽部,静岡市清水区宍原１４５６番地の２,富士見ヶ丘カントリー倶楽部　カート置場,1,0,(１３)項イ  その他
株式会社タキ電装宍原工場,静岡市清水区宍原２８６１番地の１,株式会社タキ電装宍原工場,1,0,作業場
株式会社タキ電装宍原工場,静岡市清水区宍原２８６１番地の１,株式会社タキ電装宍原工場,1,0,倉庫
株式会社　神興鉄工所,静岡市清水区宍原２８６４番地の１,株式会社　神興鉄工所,2,0,工場
清和海運株式会社　宍原センター,静岡市清水区宍原２８６７番地の１６,清和海運株式会社　宍原センター（倉庫）,3,0,倉庫
